# Generated by: get_storage_usage.py
# Date generated: 2025-11-20 11:40:09
# Command: ./get_storage_usage.py --subscription us-prod400thor-prod --start-time 2025-11-03 00:00 --end-time 2025-11-07 23:59
# Subscription: 357baeec-2e3e-4bb3-9acc-4d82e2bf2dd0
# Time range: 2025-11-03T00:00:00 to 2025-11-07T23:59:00
#
Timestamp,StorageAccount,ResourceGroup,UsedCapacityGB,BlobCapacityGB,FileCapacityGB,TableCapacityGB,QueueCapacityGB
2025-11-04T14:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,223865.34,,,,
2025-11-04T15:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,223865.34,,,,
2025-11-04T16:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,223865.34,,,,
2025-11-04T17:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,223865.34,,,,
2025-11-04T18:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,223865.42,,,,
2025-11-04T19:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,223865.42,,,,
2025-11-04T20:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,223865.41,,,,
2025-11-04T21:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,223865.41,,,,
2025-11-04T22:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,223865.41,,,,
2025-11-04T23:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,223865.40,,,,
2025-11-05T00:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,224161.37,,,,
2025-11-05T01:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,224161.45,,,,
2025-11-05T02:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,224161.45,,,,
2025-11-05T03:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,224161.41,,,,
2025-11-05T04:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,224161.41,,,,
2025-11-05T05:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,224161.36,,,,
2025-11-05T06:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,224161.36,,,,
2025-11-05T07:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,224161.39,,,,
2025-11-05T08:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222957.19,,,,
2025-11-05T09:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222957.19,,,,
2025-11-05T10:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222957.22,,,,
2025-11-05T11:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222957.22,,,,
2025-11-05T12:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222957.24,,,,
2025-11-05T13:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222957.24,,,,
2025-11-05T14:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222957.28,,,,
2025-11-05T15:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222957.28,,,,
2025-11-05T16:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222957.30,,,,
2025-11-05T17:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,224282.31,,,,
2025-11-05T18:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,224282.36,,,,
2025-11-05T19:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,224282.36,,,,
2025-11-05T20:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,224282.36,,,,
2025-11-05T21:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,224282.30,,,,
2025-11-05T22:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,224282.30,,,,
2025-11-05T23:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,224282.30,,,,
2025-11-06T00:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,224282.30,,,,
2025-11-06T01:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,220628.61,,,,
2025-11-06T02:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,220628.61,,,,
2025-11-06T03:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,220628.67,,,,
2025-11-06T04:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,220628.67,,,,
2025-11-06T05:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,220628.60,,,,
2025-11-06T06:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,220628.60,,,,
2025-11-06T07:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,220628.57,,,,
2025-11-06T08:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,220628.57,,,,
2025-11-06T09:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,220628.57,,,,
2025-11-06T10:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,221150.25,,,,
2025-11-06T11:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,221150.25,,,,
2025-11-06T12:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,221150.24,,,,
2025-11-06T13:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,221150.24,,,,
2025-11-06T14:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,221150.23,,,,
2025-11-06T15:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,221150.23,,,,
2025-11-06T16:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,221150.25,,,,
2025-11-06T17:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,221150.25,,,,
2025-11-06T18:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,221150.33,,,,
2025-11-06T19:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,221150.33,,,,
2025-11-06T20:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,221150.33,,,,
2025-11-06T21:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222334.41,,,,
2025-11-06T22:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222334.41,,,,
2025-11-06T23:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222334.32,,,,
2025-11-07T00:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222334.32,,,,
2025-11-07T01:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222334.35,,,,
2025-11-07T02:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222334.35,,,,
2025-11-07T03:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222334.39,,,,
2025-11-07T04:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222334.39,,,,
2025-11-07T05:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222334.45,,,,
2025-11-07T06:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222334.45,,,,
2025-11-07T07:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,222334.34,,,,
2025-11-07T08:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,220930.92,,,,
2025-11-07T09:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,220930.85,,,,
2025-11-07T10:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,220930.85,,,,
2025-11-07T11:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,220930.85,,,,
2025-11-07T12:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,220930.82,,,,
2025-11-07T13:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,220930.82,,,,
2025-11-07T14:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,220930.86,,,,
2025-11-07T15:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,220930.86,,,,
2025-11-07T16:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,220930.86,,,,
2025-11-07T17:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,220930.86,,,,
2025-11-07T18:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,220003.97,,,,
2025-11-07T19:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,220003.97,,,,
2025-11-07T20:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,220004.04,,,,
2025-11-07T21:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,220004.04,,,,
2025-11-07T22:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,220004.04,,,,
2025-11-07T23:00:00Z,hpccqqcxgdata10,app-prod400thor-prod-eastus,220004.05,,,,
2025-11-03T00:00:00Z,hpccqqcxgdata11,app-prod400thor-prod-eastus,222724.45,,,,
2025-11-03T01:00:00Z,hpccqqcxgdata11,app-prod400thor-prod-eastus,222724.45,,,,
2025-11-03T02:00:00Z,hpccqqcxgdata11,app-prod400thor-prod-eastus,222724.45,,,,
2025-11-03T03:00:00Z,hpccqqcxgdata11,app-prod400thor-prod-eastus,222724.45,,,,
2025-11-03T04:00:00Z,hpccqqcxgdata11,app-prod400thor-prod-eastus,222724.45,,,,
2025-11-03T05:00:00Z,hpccqqcxgdata11,app-prod400thor-prod-eastus,222724.42,,,,
2025-11-03T06:00:00Z,hpccqqcxgdata11,app-prod400thor-prod-eastus,222724.42,,,,
2025-11-03T07:00:00Z,hpccqqcxgdata11,app-prod400thor-prod-eastus,222724.41,,,,
